Customer ID,Signup Date,Acquisition Month,Channel,CAC CAD,Activated,Activation Date,Active Day 30,Active Day 60,Active Day 90,Active Day 180,Days Active,Monthly Revenue CAD,Customer Segment
NP01215,2024-02-04,2024-02,Paid Social,96.41,Yes,2024-02-05,Yes,Yes,Yes,No,114,4.34,Low Value
NP00340,2024-02-05,2024-02,Referral,80.65,Yes,2024-02-07,Yes,Yes,No,No,57,5.094,Churned
NP00461,2024-02-05,2024-02,Organic Search,16.17,Yes,2024-02-06,Yes,Yes,No,No,47,5.8469999999999995,Churned
NP00823,2024-02-05,2024-02,Referral,41.58,Yes,2024-02-07,Yes,Yes,Yes,No,90,25.32,High Value
NP01262,2024-02-05,2024-02,Referral,29.04,Yes,2024-02-06,Yes,Yes,Yes,Yes,139,33.74,High Value
NP02203,2024-02-05,2024-02,Referral,48.91,Yes,2024-02-07,Yes,Yes,Yes,Yes,166,25.32,High Value
NP02210,2024-02-05,2024-02,Email Campaign,14.92,Yes,2024-02-05,No,No,No,No,5,1.9559999999999997,Churned
NP00262,2024-02-06,2024-02,Email Campaign,24.26,No,,No,No,No,No,0,0,Churned
NP00382,2024-02-06,2024-02,Referral,51.98,Yes,2024-02-09,Yes,No,No,No,30,3.4829999999999997,Churned
NP00562,2024-02-06,2024-02,Organic Search,37.63,Yes,2024-02-07,Yes,Yes,Yes,Yes,152,30.18,High Value
NP02014,2024-02-06,2024-02,Email Campaign,14.71,No,,No,No,No,No,0,0,Churned
NP00608,2024-02-07,2024-02,Organic Search,30.52,Yes,2024-02-07,No,No,No,No,7,7.794,Churned
NP01309,2024-02-07,2024-02,Email Campaign,22.31,Yes,2024-02-09,Yes,Yes,Yes,No,94,13.51,Medium Value
NP01524,2024-02-07,2024-02,Paid Social,53.04,Yes,2024-02-10,Yes,Yes,Yes,Yes,151,0,Low Value
NP00790,2024-02-08,2024-02,Paid Social,68.99,No,,No,No,No,No,0,0,Churned
NP00948,2024-02-08,2024-02,Email Campaign,25.76,No,,No,No,No,No,0,0,Churned
NP01989,2024-02-08,2024-02,Organic Search,33.08,Yes,2024-02-10,Yes,Yes,Yes,No,117,10.02,Low Value
NP02350,2024-02-08,2024-02,Organic Search,48.74,Yes,2024-02-10,Yes,Yes,Yes,Yes,147,6.12,Low Value
NP00480,2024-02-09,2024-02,Organic Search,32.05,Yes,2024-02-11,Yes,Yes,Yes,No,63,36.89,High Value
NP00868,2024-02-09,2024-02,Email Campaign,20.02,No,,No,No,No,No,0,0,Churned
NP00977,2024-02-09,2024-02,Paid Social,73.88,Yes,2024-02-10,Yes,Yes,Yes,Yes,172,13.85,Medium Value
NP01519,2024-02-09,2024-02,Referral,31.81,No,,No,No,No,No,0,0,Churned
NP00691,2024-02-10,2024-02,Paid Social,86.68,Yes,2024-02-13,No,No,No,No,1,3.2579999999999996,Churned
NP01363,2024-02-10,2024-02,Email Campaign,15.77,Yes,2024-02-10,No,No,No,No,1,4.02,Churned
NP01541,2024-02-10,2024-02,Paid Social,105.37,Yes,2024-02-10,No,No,No,No,10,6.915,Churned
NP01549,2024-02-10,2024-02,Paid Social,85.73,Yes,2024-02-13,No,No,No,No,6,6.117,Churned
NP01552,2024-02-10,2024-02,Referral,56.55,Yes,2024-02-11,Yes,Yes,Yes,Yes,178,24.45,Medium Value
NP01885,2024-02-10,2024-02,Paid Social,84.89,Yes,2024-02-13,No,No,No,No,8,1.296,Churned
NP02221,2024-02-10,2024-02,Organic Search,47.85,Yes,2024-02-10,Yes,Yes,Yes,Yes,120,15.11,Medium Value
NP00128,2024-02-11,2024-02,Organic Search,49.31,Yes,2024-02-13,No,No,No,No,7,0.876,Churned
NP00286,2024-02-11,2024-02,Referral,57.27,No,,No,No,No,No,0,0,Churned
NP00350,2024-02-11,2024-02,Email Campaign,13.69,No,,No,No,No,No,0,0,Churned
NP02289,2024-02-11,2024-02,Organic Search,38.42,Yes,2024-02-11,No,No,No,No,1,9.735000000000001,Churned
NP00060,2024-02-12,2024-02,Paid Social,75.17,Yes,2024-02-14,Yes,Yes,Yes,Yes,156,15.6,Medium Value
NP00301,2024-02-12,2024-02,Paid Social,111.11,Yes,2024-02-13,No,No,No,No,1,5.388,Churned
NP01255,2024-02-12,2024-02,Paid Social,69.22,Yes,2024-02-15,No,No,No,No,3,5.928,Churned
NP01302,2024-02-12,2024-02,Email Campaign,7.53,Yes,2024-02-15,Yes,Yes,Yes,Yes,180,5.12,Low Value
NP01697,2024-02-12,2024-02,Organic Search,26.45,No,,No,No,No,No,0,0,Churned
NP01747,2024-02-12,2024-02,Referral,73.52,Yes,2024-02-15,Yes,Yes,Yes,Yes,175,22.37,Medium Value
NP00272,2024-02-13,2024-02,Paid Social,92.12,No,,No,No,No,No,0,0,Churned
NP01822,2024-02-13,2024-02,Organic Search,60.9,Yes,2024-02-15,No,No,No,No,1,13.5,Churned
NP02383,2024-02-13,2024-02,Paid Social,110.28,No,,No,No,No,No,0,0,Churned
NP00127,2024-02-14,2024-02,Organic Search,33.77,Yes,2024-02-17,Yes,No,No,No,17,9.831000000000001,Churned
NP00454,2024-02-14,2024-02,Email Campaign,11.77,No,,No,No,No,No,0,0,Churned
NP01429,2024-02-14,2024-02,Referral,56.68,Yes,2024-02-16,Yes,Yes,Yes,Yes,164,30.89,High Value
NP02208,2024-02-14,2024-02,Referral,45.73,Yes,2024-02-14,Yes,Yes,Yes,Yes,148,28.09,High Value
NP00963,2024-02-15,2024-02,Organic Search,26.59,Yes,2024-02-17,Yes,Yes,No,No,53,8.559,Churned
NP01544,2024-02-15,2024-02,Email Campaign,21.42,No,,No,No,No,No,0,0,Churned
NP01627,2024-02-15,2024-02,Referral,47.51,Yes,2024-02-16,No,No,No,No,6,9.915,Churned
NP01930,2024-02-15,2024-02,Organic Search,26.95,Yes,2024-02-16,No,No,No,No,7,6.588,Churned
NP00234,2024-02-16,2024-02,Paid Social,117.84,Yes,2024-02-16,No,No,No,No,8,4.455,Churned
NP01040,2024-02-16,2024-02,Organic Search,24.14,Yes,2024-02-17,Yes,Yes,Yes,No,112,20.4,Medium Value
NP00905,2024-02-17,2024-02,Organic Search,36.47,No,,No,No,No,No,0,0,Churned
NP01648,2024-02-17,2024-02,Paid Social,76.75,Yes,2024-02-19,No,No,No,No,10,5.253,Churned
NP02042,2024-02-17,2024-02,Referral,56.82,Yes,2024-02-19,No,No,No,No,7,1.248,Churned
NP02320,2024-02-17,2024-02,Organic Search,39.19,No,,No,No,No,No,0,0,Churned
NP00247,2024-02-18,2024-02,Organic Search,42.3,Yes,2024-02-18,No,No,No,No,6,5.586,Churned
NP00439,2024-02-18,2024-02,Referral,48.89,Yes,2024-02-20,Yes,Yes,Yes,Yes,156,19.2,Medium Value
NP00794,2024-02-18,2024-02,Organic Search,44.85,No,,No,No,No,No,0,0,Churned
NP00810,2024-02-18,2024-02,Organic Search,40.2,No,,No,No,No,No,0,0,Churned
NP00328,2024-02-19,2024-02,Organic Search,39.53,No,,No,No,No,No,0,0,Churned
NP00329,2024-02-19,2024-02,Organic Search,19.88,Yes,2024-02-21,Yes,Yes,Yes,No,84,21.02,Medium Value
NP01629,2024-02-19,2024-02,Paid Social,85.62,No,,No,No,No,No,0,0,Churned
NP01986,2024-02-19,2024-02,Organic Search,48.13,No,,No,No,No,No,0,0,Churned
NP02112,2024-02-19,2024-02,Email Campaign,18.3,No,,No,No,No,No,0,0,Churned
NP00319,2024-02-20,2024-02,Paid Social,70.19,No,,No,No,No,No,0,0,Churned
NP00812,2024-02-20,2024-02,Organic Search,40.77,Yes,2024-02-20,No,No,No,No,8,2.8890000000000002,Churned
NP01012,2024-02-20,2024-02,Organic Search,23.72,No,,No,No,No,No,0,0,Churned
NP02243,2024-02-20,2024-02,Paid Social,111.88,Yes,2024-02-23,Yes,No,No,No,14,3.42,Churned
NP00122,2024-02-21,2024-02,Referral,50.1,Yes,2024-02-21,Yes,Yes,Yes,Yes,142,27.65,High Value
NP00154,2024-02-21,2024-02,Email Campaign,14.17,Yes,2024-02-23,Yes,Yes,Yes,No,73,8.83,Low Value
NP01493,2024-02-21,2024-02,Referral,69.4,Yes,2024-02-22,Yes,Yes,No,No,38,4.512,Churned
NP00661,2024-02-22,2024-02,Paid Social,100.94,No,,No,No,No,No,0,0,Churned
NP01266,2024-02-22,2024-02,Paid Social,43.88,No,,No,No,No,No,0,0,Churned
NP01415,2024-02-22,2024-02,Paid Social,94.27,No,,No,No,No,No,0,0,Churned
NP00933,2024-02-23,2024-02,Organic Search,33.32,No,,No,No,No,No,0,0,Churned
NP01011,2024-02-23,2024-02,Organic Search,51.35,Yes,2024-02-25,Yes,Yes,Yes,No,88,9.33,Low Value
NP01096,2024-02-23,2024-02,Organic Search,26.63,No,,No,No,No,No,0,0,Churned
NP01610,2024-02-23,2024-02,Paid Social,100.25,Yes,2024-02-24,Yes,Yes,Yes,Yes,143,21.65,Medium Value
NP01688,2024-02-23,2024-02,Paid Social,105.76,Yes,2024-02-25,Yes,Yes,Yes,No,74,14.6,Medium Value
NP00918,2024-02-24,2024-02,Paid Social,47.42,Yes,2024-02-27,Yes,No,No,No,24,1.6019999999999999,Churned
NP00510,2024-02-25,2024-02,Paid Social,89.79,Yes,2024-02-27,No,No,No,No,4,5.4510000000000005,Churned
NP00540,2024-02-25,2024-02,Paid Social,92.71,Yes,2024-02-27,No,No,No,No,6,6.476999999999999,Churned
NP00677,2024-02-25,2024-02,Paid Social,116.46,Yes,2024-02-27,Yes,No,No,No,20,4.08,Churned
NP00738,2024-02-25,2024-02,Paid Social,89.03,No,,No,No,No,No,0,0,Churned
NP00840,2024-02-25,2024-02,Email Campaign,21.76,Yes,2024-02-27,No,No,No,No,3,4.356,Churned
NP00896,2024-02-25,2024-02,Email Campaign,19.96,No,,No,No,No,No,0,0,Churned
NP01029,2024-02-25,2024-02,Paid Social,98.01,Yes,2024-02-25,No,No,No,No,3,3.7109999999999994,Churned
NP01123,2024-02-25,2024-02,Organic Search,41.06,No,,No,No,No,No,0,0,Churned
NP01353,2024-02-25,2024-02,Organic Search,33.11,Yes,2024-02-28,No,No,No,No,4,2.9579999999999997,Churned
NP01479,2024-02-25,2024-02,Paid Social,93.99,Yes,2024-02-28,Yes,Yes,Yes,Yes,170,5.71,Low Value
NP02206,2024-02-25,2024-02,Paid Social,88.28,No,,No,No,No,No,0,0,Churned
